aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,550,-5.51,-14.56,60,34.9,32.5,60,241.3,234.03,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,2,592,-6.62,-19.57,38,28.53,10.11,28,227.93,217.93,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
ABE,3,678,-6.19,-18.37,56,30.68,19.89,46,173.43,163.39,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ABE,4,606,-6.45,-17.3,58,33.45,27.66,58,258.66,250.38,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,5,640,-6.4,-12.5,52,30.08,29.58,78,183.13,177.13,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,6,670,-6.85,-16.46,74,26.65,17.22,74,173.24,172.32,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,7,560,-6.36,-10.59,82,34.61,30.15,74,138.08,137.08,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,8,578,-6.64,-14.06,84,32.02,27.98,54,146.96,144.3,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,9,552,-6.86,-15.9,48,38.08,32.88,32,265.06,261.25,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABE,10,604,-6.03,-17.9,62,26.23,11.97,36,193.17,183.83,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
ABE,11,558,-6.35,-16.63,48,31.62,21.75,28,165.21,152.43,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,12,542,-4.88,-12.96,66,31.79,24.58,68,229.03,222.15,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,1,250,-6.34,-4.06,22,38.91,36.73,26,113.46,123.85,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
ABI,2,264,-6.43,-5.87,16,33.88,33.75,2,99.0,88.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ABI,3,240,-4.21,-6.95,26,24.08,27.08,24,132.67,134.08,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
ABI,4,230,-4.19,-9.9,30,31.47,29.6,24,129.67,126.17,DELAY_LATE_AIRCRAFT|DELAY_WEATHER|DELAY_NAS
ABI,5,186,-2.91,-7.02,52,27.88,25.04,44,190.68,195.59,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABI,6,224,-4.65,-10.25,36,28.33,25.72,26,116.54,108.77,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,7,232,-4.23,-8.73,46,30.13,30.87,20,127.0,122.5,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,8,264,-6.14,-8.8,24,27.25,22.67,4,91.5,89.5,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,9,248,-5.33,-8.06,28,28.43,23.43,16,108.88,99.12,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABI,10,284,-5.69,-12.23,6,32.0,32.0,8,135.5,125.5,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABI,11,254,-4.5,-9.21,16,31.12,25.5,12,106.17,105.0,DELAY_WEATHER|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ABI,12,260,-4.19,-6.19,14,28.71,21.57,24,111.0,117.08,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,1,2916,-3.25,-8.49,400,30.94,26.28,232,137.95,134.59,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABQ,2,2802,-2.88,-8.38,312,31.13,28.93,128,156.59,155.88,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABQ,3,3028,-2.42,-8.1,500,31.2,25.83,234,186.95,185.95,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABQ,4,3068,-2.33,-8.72,526,30.96,24.81,186,143.84,142.43,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,5,3194,-1.9,-7.44,642,31.05,25.33,318,161.65,158.31,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,6,3236,-2.15,-7.1,618,30.57,25.68,252,147.6,143.38,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,7,3178,-2.11,-7.26,662,33.08,29.46,336,152.89,150.16,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,8,3406,-3.32,-8.27,468,30.08,27.2,252,143.02,141.08,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,9,3486,-3.87,-10.21,440,28.97,22.79,132,127.7,122.7,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,10,4210,-3.07,-8.12,422,28.39,23.0,150,141.68,137.13,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,11,3436,-3.56,-7.27,370,30.1,28.39,142,134.52,133.99,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABQ,12,3376,-3.17,-9.33,446,30.12,23.94,174,159.17,161.71,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABR,1,94,-3.34,-14.87,10,27.2,7.8,10,130.8,121.4,DELAY_CARRIER|CANC_WEATHER|DELAY_WEATHER
ABR,2,106,-4.94,-22.42,6,34.0,13.67,4,321.0,304.5,DELAY_CARRIER|DELAY_WEATHER
ABR,3,102,-4.1,-21.47,6,27.0,11.67,14,192.29,171.43,DELAY_CARRIER|DELAY_WEATHER|CANC_WEATHER
ABR,4,112,-5.18,-16.05,2,18.0,-4.0,6,365.67,344.0,DELAY_CARRIER|DELAY_WEATHER
ABR,5,106,-4.53,-10.7,6,39.33,36.0,12,140.5,130.67,DELAY_CARRIER|DELAY_WEATHER
ABR,6,84,-3.38,1.38,22,37.82,49.55,14,307.57,308.71,DELAY_CARRIER|DELAY_WEATHER|DELAY_NAS
